derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Joint,0,115000,NA,NA,135,6,2,,3,5,,,3,2,3,25-34,No,0,0,0,0
Hispanic or Latino,White,Joint,0,215000,NA,225000,49,2,1,,2,5,,,2,1,2,35-44,No,4959,65.48,75800,101
Not Hispanic or Latino,White,Joint,0,145000,NA,NA,44,6,2,,3,5,,,3,1,3,45-54,No,0,0,0,0
Hispanic or Latino,Race Not Available,Female,0,235000,Exempt,Exempt,53,1111,1,14,2,6,,,2,2,2,45-54,No,7003,75,75800,147
Hispanic or Latino,White,Male,0,95000,NA,NA,104,6,11,,3,5,,,3,1,3,<25,No,0,0,0,0
Hispanic or Latino,White,Female,0,215000,NA,NA,24,6,1,,3,5,,,3,2,3,25-34,No,0,0,0,0
Ethnicity Not Available,Race Not Available,Sex Not Available,0,245000,NA,245000,63,1,3,,2,6,,,2,3,2,35-44,No,2708,69.02,126000,66
Not Hispanic or Latino,White,Male,0,125000,NA,125000,65,2,2,,2,5,,,2,1,2,55-64,No,7954,20.23,101800,94
Hispanic or Latino,White,Male,0,85000,NA,85000,40,1,1,11,2,5,,,2,1,2,35-44,No,4851,97.55,67700,78
Ethnicity Not Available,Race Not Available,Joint,0,205000,NA,205000,74,1,3,,2,6,,,2,1,2,<25,No,5755,80.28,63100,121
Hispanic or Latino,White,Male,0,215000,NA,225000,99,2,1,12,2,5,,,2,1,2,<25,No,8527,97.58,67700,66
Ethnicity Not Available,Race Not Available,Joint,0,225000,NA,225000,74,3,3,,2,6,,,2,1,2,35-44,No,2714,80.91,63100,90
Ethnicity Not Available,Race Not Available,Female,0,105000,NA,155000,26,2,3,,2,6,,,2,2,2,>74,Yes,2458,48.25,78600,89
Not Hispanic or Latino,White,Female,0,105000,NA,175000,28,2,2,,2,5,,,2,2,2,55-64,No,3416,32.76,87900,71
Hispanic or Latino,White,Male,0,225000,NA,225000,117,2,1,11,2,5,,,2,1,2,25-34,No,5323,29.34,110300,99
Not Hispanic or Latino,Black or African American,Female,0,275000,NA,285000,90,1,2,,2,3,,,2,2,2,45-54,No,7560,92.37,110300,78
Not Hispanic or Latino,White,Male,0,215000,NA,245000,263,1,2,,2,5,,,2,1,2,45-54,No,1768,20.98,87900,110
Hispanic or Latino,White,Joint,0,305000,NA,315000,124,3,1,,2,5,,,2,2,2,35-44,No,4160,97.33,67700,98
Joint,White,Female,0,325000,NA,335000,93,1,2,,2,5,,,2,2,2,35-44,No,2979,92.48,60400,58
Hispanic or Latino,Race Not Available,Joint,0,365000,NA,395000,96,3,1,,2,6,,,2,1,2,25-34,No,7089,89.87,126000,39
Hispanic or Latino,White,Male,0,355000,NA,405000,84,3,1,11,2,5,,,2,1,2,25-34,No,3427,51.09,91100,100
Not Hispanic or Latino,Black or African American,Male,0,345000,NA,435000,120,1,2,,2,3,,,2,1,2,25-34,No,2813,69.29,113700,113
Not Hispanic or Latino,Race Not Available,Joint,0,385000,NA,495000,120,2,2,,2,6,,,2,1,2,45-54,No,6732,32.77,97400,147
Not Hispanic or Latino,White,Female,0,465000,NA,545000,223,3,2,,2,5,,,2,2,2,25-34,No,1696,18.81,128400,75
Hispanic or Latino,White,Female,0,405000,NA,575000,193,3,1,11,2,5,,,2,2,2,45-54,No,6736,95.1,57300,172
Ethnicity Not Available,White,Joint,0,595000,NA,615000,120,2,3,,2,5,,,2,1,2,25-34,No,3273,97.19,98200,65
Hispanic or Latino,Race Not Available,Joint,0,425000,NA,435000,95,2,1,,2,6,,,2,1,2,35-44,No,4858,63.32,97500,80
Ethnicity Not Available,Race Not Available,Male,0,555000,NA,475000,102,2,3,,2,6,,,2,1,2,25-34,No,3776,50.5,97500,80
Ethnicity Not Available,Race Not Available,Sex Not Available,0,455000,NA,555000,120,1,3,,2,6,,,2,3,2,45-54,No,6279,85.09,155700,65
Hispanic or Latino,Race Not Available,Male,0,375000,NA,665000,113,3,11,,2,6,,,2,1,2,25-34,No,6579,58.87,155700,78
Not Hispanic or Latino,White,Female,0,555000,NA,1555000,179,3,2,,2,5,,,2,2,2,25-34,No,4827,55.79,103200,129
Not Hispanic or Latino,White,Joint,0,2495000,NA,2895000,577,2,2,,2,5,,,2,1,2,35-44,No,3182,24.8,119500,143
Not Hispanic or Latino,Black or African American,Joint,0,565000,NA,715000,610,2,2,,2,3,,,2,1,2,<25,No,6988,99.07,98200,81
Not Hispanic or Latino,White,Male,0,195000,NA,575000,61,3,2,,2,5,,,2,1,2,55-64,No,4967,47.19,87900,100
Hispanic or Latino,Race Not Available,Male,0,385000,NA,725000,94,2,1,,2,6,,,2,1,2,25-34,No,5402,73.16,97500,103
Joint,White,Joint,0,265000,NA,305000,188,3,2,,2,5,,,2,1,2,45-54,No,6518,77.52,84000,80
Not Hispanic or Latino,Asian,Joint,0,465000,NA,505000,74,1,2,,2,2,27,,2,2,2,45-54,No,3558,91.26,155700,34
Joint,White,Joint,0,695000,NA,765000,149,2,11,,2,5,,,2,2,2,25-34,No,4260,70.42,180400,48
Hispanic or Latino,White,Female,0,65000,NA,305000,18,3,1,11,2,5,,,2,2,2,65-74,Yes,5383,61.06,84000,72
Not Hispanic or Latino,White,Male,0,345000,NA,205000,77,2,2,,2,5,,,2,1,2,45-54,No,3342,25.37,87900,71
Ethnicity Not Available,Race Not Available,Sex Not Available,0,265000,NA,265000,67,1,3,,2,6,,,2,3,2,55-64,Yes,4862,85.6,63100,106
Not Hispanic or Latino,White,Male,0,275000,NA,275000,64,3,2,,2,5,,,2,1,2,45-54,No,2426,35.86,75500,96
Not Hispanic or Latino,White,Joint,0,345000,NA,335000,73,1,2,,2,5,,,2,1,2,25-34,No,5086,36.94,113700,78
Not Hispanic or Latino,White,Joint,0,425000,NA,475000,82,3,2,,2,5,,,2,1,2,>74,Yes,4996,66.69,91100,73
Hispanic or Latino,White,Female,0,305000,NA,315000,106,1,1,11,2,5,,,2,2,2,25-34,No,5734,72.29,84000,98
Hispanic or Latino,American Indian or Alaska Native,Joint,0,325000,NA,335000,86,2,1,,2,1,,,2,2,2,35-44,No,4816,42.82,97400,69
Not Hispanic or Latino,White,Male,0,605000,NA,615000,114,2,2,,2,5,,,2,1,2,45-54,No,5288,50.96,97500,86
Joint,Joint,Joint,0,1015000,NA,805000,161,2,2,,2,3,,,2,2,2,<25,No,4521,94.32,119500,52
Not Hispanic or Latino,Black or African American,Male,0,245000,NA,455000,95,1,2,,1,3,,,1,1,1,>74,Yes,5400,71.37,103800,96
Not Hispanic or Latino,White,Male,0,1275000,NA,1425000,239,2,2,,2,5,,,2,1,2,35-44,No,6248,27.85,81700,124
Not Hispanic or Latino,Black or African American,Female,0,845000,NA,885000,351,3,2,,2,3,,,2,2,2,45-54,No,5969,98.24,98200,90
Hispanic or Latino,White,Joint,0,325000,NA,325000,104,3,1,11,2,5,,,2,2,2,45-54,No,6731,97.39,67700,141
Hispanic or Latino,White,Joint,0,225000,NA,245000,305,3,1,11,2,5,,,2,1,2,45-54,No,10046,96.37,57300,156
Not Hispanic or Latino,White,Female,0,285000,NA,585000,70,3,2,,2,5,,,2,2,2,45-54,No,4270,55.01,82200,152
Not Hispanic or Latino,White,Male,0,355000,NA,605000,58,2,2,,2,5,,,2,1,2,65-74,Yes,5930,28.06,113700,95
Ethnicity Not Available,Race Not Available,Male,0,665000,NA,685000,141,3,3,,2,6,,,2,1,2,45-54,No,7906,56.3,155700,103
Hispanic or Latino,White,Male,0,355000,NA,535000,110,1,1,11,2,5,,,2,1,2,25-34,No,5032,75.32,119500,71
Hispanic or Latino,White,Female,0,185000,NA,195000,125,1,1,11,2,5,,,2,2,2,25-34,No,8527,97.58,67700,66
Hispanic or Latino,White,Joint,0,375000,NA,395000,70,2,1,14,2,5,,,2,2,2,35-44,No,6339,59.9,113700,64
Hispanic or Latino,White,Joint,0,225000,NA,235000,70,3,1,11,2,5,,,2,2,2,25-34,No,8052,94.56,67700,121
Ethnicity Not Available,Race Not Available,Male,0,25000,NA,685000,141,3,3,,2,6,,,2,1,2,45-54,No,7906,56.3,155700,103
Ethnicity Not Available,Race Not Available,Joint,0,555000,NA,695000,193,3,3,,2,6,,,2,1,2,35-44,No,6279,85.09,155700,65
Ethnicity Not Available,Race Not Available,Male,0,145000,NA,725000,54,1,3,,2,6,,,2,1,2,25-34,No,4662,64.56,91100,83
Not Hispanic or Latino,Asian,Male,0,735000,NA,775000,152,1,2,,2,2,,,2,1,2,35-44,No,5056,27.53,128400,97
Not Hispanic or Latino,Black or African American,Joint,0,665000,NA,955000,189,1,2,,2,3,,,2,1,2,45-54,No,3726,97.69,98200,85
Not Hispanic or Latino,Black or African American,Female,0,795000,NA,1005000,155,1,2,,2,3,,,2,2,2,45-54,No,3010,97.01,98200,108
Ethnicity Not Available,Race Not Available,Female,0,505000,NA,565000,209,1,3,,2,6,,,2,2,2,35-44,No,3519,42.4,113700,77
Not Hispanic or Latino,White,Female,0,585000,NA,605000,165,1,2,,2,5,,,2,2,2,45-54,No,7581,16.2,87900,127
Not Hispanic or Latino,Asian,Male,0,545000,NA,685000,152,2,2,,2,2,,,2,1,2,45-54,No,9976,78.53,103800,127
Not Hispanic or Latino,Black or African American,Female,0,595000,NA,735000,148,1,2,,2,3,,,2,2,2,25-34,No,4335,98.52,98200,80
Not Hispanic or Latino,White,Male,0,405000,NA,505000,114,2,2,,2,5,,,2,1,2,35-44,No,2815,42.88,103800,123
Ethnicity Not Available,Race Not Available,Sex Not Available,0,1335000,NA,1405000,128,1,3,,2,6,,,2,3,2,55-64,Yes,6024,72.34,119500,133
Not Hispanic or Latino,White,Male,0,635000,NA,645000,NA,2,2,,2,5,,,2,1,2,45-54,No,5901,37.55,110300,141
Not Hispanic or Latino,Asian,Male,0,85000,NA,2375000,255,2,2,,2,2,21,,2,1,2,45-54,No,3480,51.18,155700,189
Hispanic or Latino,White,Female,0,295000,NA,315000,87,3,1,11,2,5,,,2,2,2,25-34,No,5026,57.92,72000,144
Not Hispanic or Latino,White,Male,0,245000,NA,265000,NA,1,2,,2,5,,,2,1,2,25-34,No,6028,76.81,72000,66
Not Hispanic or Latino,Black or African American,Joint,0,705000,NA,785000,269,2,2,,2,3,,,2,1,2,35-44,No,4232,41.4,110300,101
Ethnicity Not Available,Race Not Available,Male,0,205000,NA,255000,80,1,3,,2,6,,,2,1,2,35-44,No,6383,88.47,63100,114
Not Hispanic or Latino,White,Female,0,305000,NA,435000,91,2,2,,2,5,,,2,2,2,>74,Yes,3315,20.42,113700,108
Not Hispanic or Latino,White,Male,0,205000,NA,275000,254,1,2,,2,5,,,2,1,2,45-54,No,1768,20.98,87900,110
Ethnicity Not Available,Race Not Available,Sex Not Available,0,545000,NA,725000,287,3,3,,2,6,,,2,3,2,45-54,No,3839,19.93,87900,106
Ethnicity Not Available,Race Not Available,Male,0,215000,NA,335000,26,1,3,,2,6,,,2,1,2,35-44,No,4245,38.59,97500,81
Not Hispanic or Latino,Black or African American,Female,0,305000,NA,605000,NA,2,2,,2,3,,,2,2,2,55-64,No,4133,92.18,97400,70
Hispanic or Latino,White,Female,0,295000,NA,375000,103,1,1,,2,5,,,2,2,2,55-64,No,6847,85.04,84000,73
Not Hispanic or Latino,Joint,Joint,0,115000,NA,NA,70,6,2,,3,5,,,3,2,3,25-34,No,0,0,0,0
Hispanic or Latino,Race Not Available,Male,0,325000,NA,415000,121,3,1,,2,6,,,2,1,2,25-34,No,6826,45.9,91100,95
Not Hispanic or Latino,Asian,Male,0,185000,NA,245000,NA,2,2,,2,23,,,2,1,2,45-54,No,4380,35.75,87900,67
Not Hispanic or Latino,American Indian or Alaska Native,Male,0,295000,NA,385000,NA,2,2,,2,1,5,,2,1,2,35-44,No,4417,61.1,110300,83
Hispanic or Latino,White,Male,0,255000,NA,385000,NA,1,1,14,2,5,,,2,1,2,45-54,No,2522,89.65,103800,57
Not Hispanic or Latino,Black or African American,Female,0,405000,NA,595000,130,3,2,,2,3,,,2,2,2,65-74,Yes,3712,94.96,98200,64
Ethnicity Not Available,White,Male,0,515000,NA,3905000,NA,2,3,,2,5,,,2,1,2,65-74,Yes,3860,40.13,180400,159
Ethnicity Not Available,Race Not Available,Sex Not Available,0,235000,NA,565000,48,9,3,,2,6,,,2,3,2,>74,Yes,3421,18.44,113700,132
Not Hispanic or Latino,White,Joint,0,115000,NA,95000,51,2,2,,2,5,,,2,1,2,>74,Yes,2236,68.34,60400,116
Hispanic or Latino,White,Female,0,85000,NA,NA,78,6,1,,3,5,,,3,2,3,55-64,No,0,0,0,0
Hispanic or Latino,Race Not Available,Joint,0,165000,NA,175000,63,1,1,,2,6,,,2,1,2,35-44,No,6433,79.11,84000,83
Hispanic or Latino,White,Female,0,155000,NA,155000,53,1,1,11,2,5,,,2,2,2,<25,No,7557,62.9,83800,85
Not Hispanic or Latino,White,Male,0,175000,NA,NA,411,6,2,,3,5,,,3,1,3,55-64,No,0,0,0,0
Not Hispanic or Latino,Black or African American,Male,0,115000,NA,125000,183,2,2,,2,3,,,2,1,2,45-54,No,3011,90.3,101800,58
Not Hispanic or Latino,White,Joint,0,225000,NA,225000,56,1,2,,2,5,,,2,1,2,35-44,No,2695,23.08,89100,111
Not Hispanic or Latino,White,Male,0,215000,NA,225000,68,2,2,,2,5,,,2,1,2,25-34,No,4033,83.91,63100,85
Not Hispanic or Latino,White,Joint,0,225000,NA,225000,69,2,2,,2,5,,,2,2,2,35-44,No,2099,35.4,78600,98
Ethnicity Not Available,Race Not Available,Male,0,225000,NA,235000,83,3,3,,2,6,,,2,1,2,<25,No,5405,52.45,84000,121
Not Hispanic or Latino,Black or African American,Female,0,245000,NA,245000,120,1,2,,2,3,,,2,2,2,25-34,No,5434,74.9,75800,82
Not Hispanic or Latino,White,Joint,0,195000,NA,265000,65,2,2,,2,5,,,2,2,2,45-54,No,2447,24.44,81400,96
Not Hispanic or Latino,White,Male,0,305000,NA,295000,114,1,2,,2,5,,,2,1,2,55-64,No,5249,39.55,96600,57
Hispanic or Latino,Race Not Available,Male,0,325000,NA,345000,81,3,1,,2,6,,,2,1,2,45-54,No,6685,80.03,155700,101
Hispanic or Latino,White,Male,0,345000,NA,355000,88,1,1,14,2,5,,,2,1,2,45-54,No,6943,65.23,110300,103
Hispanic or Latino,White,Joint,0,345000,NA,355000,54,1,13,,2,5,,,2,1,2,35-44,No,5761,50.08,126000,131
Ethnicity Not Available,White,Female,0,305000,NA,385000,90,3,3,,2,5,,,2,2,2,55-64,No,5980,28.38,119500,117
Hispanic or Latino,White,Joint,0,405000,NA,395000,104,3,1,11,2,5,,,2,1,2,<25,No,4413,74.14,98200,100
Hispanic or Latino,White,Joint,0,265000,NA,405000,70,1,1,11,2,5,,,2,1,2,25-34,No,5286,92.41,97500,69
Ethnicity Not Available,Race Not Available,Joint,0,395000,NA,405000,95,3,3,,2,6,,,2,1,2,55-64,No,6582,80.02,97500,60
Not Hispanic or Latino,Asian,Male,0,375000,NA,435000,74,1,2,,2,2,,,2,1,2,45-54,No,4985,83.65,113700,56
Ethnicity Not Available,Native Hawaiian or Other Pacific Islander,Male,0,405000,NA,455000,79,2,3,,2,44,,,2,1,2,25-34,No,8299,48.38,82200,149
Not Hispanic or Latino,White,Joint,0,445000,NA,455000,108,3,2,,2,5,,,2,2,2,<25,No,3818,43.61,113700,57
Joint,White,Joint,0,335000,NA,465000,72,2,2,,2,5,,,2,1,2,35-44,No,2979,92.48,60400,58
Not Hispanic or Latino,White,Joint,0,385000,NA,555000,182,2,2,,2,5,,,2,1,2,55-64,No,4599,70.93,113200,88
Ethnicity Not Available,Race Not Available,Sex Not Available,0,555000,NA,565000,154,3,3,,2,6,,,2,3,2,35-44,No,3310,77.28,98200,60
Not Hispanic or Latino,White,Male,0,405000,NA,585000,146,1,2,,2,5,,,2,1,2,55-64,No,3173,59.03,113700,123
Ethnicity Not Available,Race Not Available,Sex Not Available,0,235000,NA,585000,73,3,3,,2,6,,,2,3,2,45-54,No,5401,60.47,72000,135
Ethnicity Not Available,Race Not Available,Female,0,615000,NA,675000,270,1,3,,2,6,,,2,2,2,25-34,No,3652,69.3,63100,191
Hispanic or Latino,White,Male,0,595000,NA,685000,120,3,1,11,2,5,,,2,1,2,35-44,No,6267,91.67,98200,108
Not Hispanic or Latino,White,Male,0,465000,NA,715000,181,3,2,,2,5,,,2,1,2,25-34,No,6723,41.02,98200,135
Not Hispanic or Latino,White,Joint,0,605000,NA,715000,107,3,2,,2,5,,,2,1,2,35-44,No,1811,14.3,97500,205
Ethnicity Not Available,Race Not Available,Joint,0,755000,NA,725000,19,2,3,,2,6,,,2,1,2,55-64,No,4363,74.1,84000,118
Ethnicity Not Available,Race Not Available,Sex Not Available,0,735000,NA,725000,167,2,3,,2,6,,,2,3,2,35-44,No,4711,95.44,155700,51
Hispanic or Latino,White,Joint,0,745000,NA,775000,159,2,1,11,2,5,,,2,1,2,<25,No,4241,48.27,98200,144
Ethnicity Not Available,Race Not Available,Joint,0,1115000,NA,795000,355,3,3,,2,6,,,2,2,2,45-54,No,7098,98.73,98200,60
Not Hispanic or Latino,White,Joint,0,855000,NA,825000,237,1,2,,2,5,,,2,1,2,65-74,Yes,7566,33.93,91100,125
Not Hispanic or Latino,Asian,Female,0,535000,NA,825000,146,1,2,,2,2,,,2,2,2,35-44,No,6357,81,84000,140
Ethnicity Not Available,Race Not Available,Joint,0,385000,NA,855000,246,2,3,,2,6,,,2,1,2,>74,Yes,4182,97.08,98200,135
Not Hispanic or Latino,White,Male,0,475000,NA,865000,260,2,2,,2,5,,,2,1,2,45-54,No,1051,62.61,184200,174
Joint,Asian,Joint,0,855000,NA,985000,224,2,2,,2,2,27,,2,2,2,35-44,No,4381,67.27,155700,108
Not Hispanic or Latino,White,Female,0,455000,NA,1095000,134,2,2,,2,5,,,2,2,2,65-74,Yes,6258,25.22,113700,120
Not Hispanic or Latino,White,Joint,0,1145000,NA,1675000,349,1,2,,2,5,,,2,1,2,65-74,Yes,5621,40.49,155700,159
Hispanic or Latino,Race Not Available,Sex Not Available,0,225000,NA,245000,103,1,1,11,2,6,,,2,3,2,35-44,No,8059,73.59,81700,69
Not Hispanic or Latino,Asian,Female,0,65000,NA,385000,45,3,2,,2,2,26,,2,2,2,45-54,No,4216,90.3,103800,81
Hispanic or Latino,White,Male,0,315000,NA,675000,275,1,1,,2,5,,,2,1,2,45-54,No,3082,97.24,98200,64
Not Hispanic or Latino,Black or African American,Male,0,1505000,NA,1805000,515,2,2,,2,3,,,2,1,2,25-34,No,3462,23.63,98200,208
Hispanic or Latino,White,Male,0,165000,NA,535000,35,3,1,,1,5,,,1,1,1,65-74,Yes,7879,63.35,84000,127
Hispanic or Latino,White,Female,0,125000,NA,425000,43,2,1,,2,5,,,2,2,2,>74,Yes,4918,84.08,63100,106
Ethnicity Not Available,Race Not Available,Male,0,235000,NA,235000,76,2,3,,2,6,,,2,1,2,55-64,No,10957,94.83,97400,94
Hispanic or Latino,White,Joint,0,265000,NA,275000,98,2,1,,2,5,,,2,1,2,25-34,No,8009,98.31,57300,97
Hispanic or Latino,Asian,Female,0,405000,NA,425000,106,1,1,11,2,23,,,2,2,2,35-44,No,6231,56.52,82200,117
Hispanic or Latino,Race Not Available,Joint,0,375000,NA,495000,115,2,1,11,2,6,,,2,2,2,35-44,No,6090,79.15,84000,139
Not Hispanic or Latino,Joint,Joint,0,585000,NA,585000,151,3,2,,2,3,5,,2,6,2,45-54,No,5310,55.95,119500,110
Ethnicity Not Available,Race Not Available,Female,0,785000,NA,765000,113,1,3,,2,6,,,2,2,2,35-44,No,7819,56.54,97500,110
Ethnicity Not Available,White,Joint,0,275000,NA,255000,45,2,3,,2,5,,,2,1,2,<25,No,4041,20.37,78600,63
Hispanic or Latino,White,Joint,0,225000,NA,305000,58,3,1,,2,5,,,2,1,2,55-64,No,5257,51.25,72000,109
Hispanic or Latino,Race Not Available,Male,0,295000,NA,305000,89,2,1,,2,6,,,2,1,2,25-34,No,4918,67.24,84000,137
Not Hispanic or Latino,White,Male,0,65000,NA,165000,32,1,2,,2,5,,,2,1,2,<25,No,6518,77.52,84000,80
Hispanic or Latino,White,Male,0,225000,NA,235000,43,3,1,,1,5,,,1,1,1,35-44,No,4862,93.56,84000,39
Not Hispanic or Latino,White,Male,0,265000,NA,235000,307,3,2,,2,5,,,2,1,2,55-64,No,4452,25.99,89100,94
Not Hispanic or Latino,White,Male,0,235000,NA,305000,48,2,2,,2,5,,,2,1,2,65-74,Yes,5357,31.25,89100,67
Not Hispanic or Latino,White,Male,0,375000,NA,385000,198,1,2,,2,5,,,2,1,2,25-34,No,2741,24.88,87900,95
Not Hispanic or Latino,Race Not Available,Joint,0,465000,NA,495000,119,2,2,,2,6,,,2,1,2,45-54,No,6732,32.77,97400,147
Not Hispanic or Latino,White,Male,0,425000,NA,615000,146,1,2,,2,5,,,2,1,2,55-64,No,3173,59.03,113700,123
Not Hispanic or Latino,Joint,Joint,0,305000,NA,735000,224,3,2,,2,5,,,2,1,2,55-64,No,5933,57.32,89300,172
Not Hispanic or Latino,White,Male,0,575000,NA,755000,112,2,2,,2,5,,,2,1,2,55-64,No,6306,37.92,128400,95
Not Hispanic or Latino,White,Joint,0,105000,NA,385000,43,2,2,,2,5,,,2,1,2,65-74,Yes,3774,26.47,78600,184
Not Hispanic or Latino,Asian,Joint,0,485000,NA,495000,122,3,2,,2,2,23,,2,1,2,35-44,No,5749,96.26,97500,61
Ethnicity Not Available,Race Not Available,Male,0,465000,NA,515000,137,3,3,,2,6,,,2,1,2,45-54,No,5589,54.2,155700,79
Ethnicity Not Available,Race Not Available,Female,0,545000,NA,575000,186,2,3,,2,6,,,2,2,2,45-54,No,5594,30.93,113700,161
Not Hispanic or Latino,White,Female,0,145000,NA,545000,28,1,2,,2,5,,,2,2,2,25-34,No,4977,27.35,87900,107
Hispanic or Latino,White,Male,0,375000,NA,585000,82,3,1,,2,5,,,2,1,2,35-44,No,2798,87.49,119500,89
Ethnicity Not Available,Race Not Available,Sex Not Available,0,485000,NA,545000,96,1,3,,2,6,,,2,3,2,35-44,No,6035,57.93,97500,111
Hispanic or Latino,White,Female,0,285000,NA,295000,115,9,1,,2,5,,,2,2,2,25-34,No,7077,73.45,84000,97
Ethnicity Not Available,Race Not Available,Joint,0,765000,NA,1265000,121,1,3,,2,6,,,2,1,2,35-44,No,3326,61.15,113700,55
Joint,Race Not Available,Joint,0,395000,NA,435000,325,2,11,,2,6,,,2,1,2,<25,No,4445,38.56,155700,117
Not Hispanic or Latino,White,Female,0,105000,NA,155000,NA,1,2,,2,5,,,2,2,2,65-74,Yes,3236,19.19,87900,99
Not Hispanic or Latino,White,Joint,0,185000,NA,NA,195,6,2,,3,5,,,3,1,3,25-34,No,0,0,0,0
Hispanic or Latino,White,Female,0,205000,NA,205000,75,2,1,11,2,5,,,2,2,2,25-34,No,10372,97.67,67700,78
Not Hispanic or Latino,White,Female,0,25000,NA,205000,65,3,2,,2,5,,,2,2,2,45-54,No,4093,56.22,85600,80
Hispanic or Latino,White,Male,0,105000,NA,225000,NA,3,1,11,2,5,,,2,1,2,45-54,No,3724,97.82,60400,95
Not Hispanic or Latino,White,Joint,0,5000,NA,225000,74,2,2,,2,5,,,2,2,2,35-44,No,2099,35.4,78600,98
Hispanic or Latino,White,Male,0,265000,NA,265000,77,3,1,11,2,5,,,2,1,2,25-34,No,3730,87.13,57300,164
Hispanic or Latino,White,Male,0,245000,NA,245000,NA,1,1,11,2,5,,,2,1,2,45-54,No,10046,96.37,57300,156
Hispanic or Latino,White,Male,0,135000,NA,265000,63,2,1,,1,5,,,1,1,1,45-54,No,3294,90.53,78600,47
Hispanic or Latino,White,Male,0,225000,NA,275000,NA,1,1,11,2,5,,,2,1,2,35-44,No,2887,89.05,57300,224
Hispanic or Latino,White,Male,0,15000,NA,275000,116,3,1,,2,5,,,2,1,2,35-44,No,6452,85.74,84000,49
Not Hispanic or Latino,White,Male,0,315000,NA,315000,209,3,2,,2,5,,,2,1,2,55-64,Yes,5008,52.94,110300,99
Not Hispanic or Latino,White,Male,0,255000,NA,315000,25,3,2,,2,5,,,2,1,2,35-44,No,2605,29.48,78600,90
Not Hispanic or Latino,White,Male,0,105000,NA,NA,48,6,2,,3,5,,,3,1,3,25-34,No,0,0,0,0
Hispanic or Latino,White,Joint,0,145000,NA,335000,104,2,1,,2,5,,,2,2,2,55-64,No,7034,59.11,89300,159
Hispanic or Latino,White,Male,0,105000,NA,NA,82,6,1,,3,5,,,3,1,3,<25,No,0,0,0,0
Hispanic or Latino,White,Joint,0,105000,NA,NA,58,6,1,11,3,5,,,3,2,3,25-34,No,0,0,0,0
Hispanic or Latino,White,Joint,0,55000,NA,NA,93,9,1,14,3,5,,,3,1,3,25-34,No,0,0,0,0
Not Hispanic or Latino,White,Male,0,325000,NA,445000,350,2,2,,2,5,,,2,1,2,35-44,No,3759,66.43,97400,107
Not Hispanic or Latino,White,Male,0,435000,NA,575000,3630,1,2,,2,5,,,2,1,2,55-64,Yes,10242,71.98,89300,154
Not Hispanic or Latino,White,Female,0,485000,NA,515000,173,1,2,,2,5,,,2,2,2,25-34,No,4639,23.88,113700,60
Hispanic or Latino,White,Joint,0,155000,NA,565000,NA,1,1,11,2,5,,,2,1,2,65-74,Yes,3442,89.89,97500,94
Not Hispanic or Latino,Black or African American,Male,0,585000,NA,575000,98,3,2,,2,3,,,2,1,2,35-44,No,8924,55.29,97500,128
Not Hispanic or Latino,White,Female,0,485000,NA,605000,104,3,2,,2,5,,,2,2,2,25-34,No,10640,50.5,84000,197
Not Hispanic or Latino,White,Female,0,465000,NA,665000,82,3,2,,2,5,,,2,2,2,45-54,No,4462,15.55,113700,103
Ethnicity Not Available,Race Not Available,Male,0,565000,NA,715000,61,2,3,,2,6,,,2,1,2,55-64,No,2660,59.77,155700,111
Ethnicity Not Available,Race Not Available,Female,0,305000,NA,395000,54,2,3,,2,6,,,2,2,2,45-54,No,5114,36.33,113700,226
Hispanic or Latino,Race Not Available,Joint,0,625000,NA,755000,249,1,1,,2,6,,,2,1,2,45-54,No,9259,60.4,97500,136
Ethnicity Not Available,Race Not Available,Female,0,625000,NA,775000,1851,2,3,,2,6,,,2,2,2,35-44,No,4788,81.93,155700,115
Hispanic or Latino,Race Not Available,Joint,0,105000,NA,785000,189,3,1,11,2,6,,,2,1,2,35-44,No,5586,81.7,119500,78
Not Hispanic or Latino,White,Male,0,535000,NA,765000,3630,1,2,,2,5,,,2,1,2,55-64,Yes,10242,71.98,89300,154
Not Hispanic or Latino,Black or African American,Male,0,535000,NA,905000,110,2,2,,2,3,,,2,1,2,55-64,Yes,6339,98.06,98200,130
Not Hispanic or Latino,Asian,Male,0,375000,NA,1135000,74,9,2,,2,27,,,2,1,2,55-64,No,7129,85.48,98200,127
Not Hispanic or Latino,White,Joint,0,1705000,NA,2405000,274,1,2,,2,5,,,2,1,2,55-64,Yes,6364,35.95,155700,203
Not Hispanic or Latino,Joint,Joint,0,2085000,NA,2615000,566,3,2,,2,5,,,2,1,2,35-44,No,3837,24.5,119500,145
Not Hispanic or Latino,White,Female,0,45000,NA,165000,60,3,2,,2,5,,,2,2,2,25-34,No,2183,22.49,87900,72
Not Hispanic or Latino,White,Male,0,125000,NA,1505000,42,1,2,,2,5,,,2,1,2,55-64,No,5245,21.62,201300,77
